City,State,Lat,Lng
Marysville,WA,48.0517637,-122.1770818
Perris,CA,33.7825194,-117.2286478
Cleveland,OH,41.49932,-81.6943605
Worcester,MA,42.2625932,-71.8022934
Columbia,SC,34.0007104,-81.0348144
Waterbury,CT,41.5581525,-73.0514965
Eagan,MN,44.8041322,-93.1668858
Southfield,MI,42.4733688,-83.2218731
Lafayette,LA,30.2240897,-92.0198427
Boise City,ID,43.6187102,-116.2146068
Elkhart,IN,41.6819935,-85.9766671
Buena Park,CA,33.8675143,-117.9981181
Marietta,GA,33.952602,-84.5499327
Parker,CO,39.5186002,-104.7613633
West Palm Beach,FL,26.7153424,-80.0533746
Salem,MA,42.51954,-70.8967155
Aurora,IL,41.7605849,-88.3200715
Leesburg,VA,39.1156615,-77.5636015
Doral,FL,25.8195424,-80.3553302
Westminster,CA,33.7513419,-117.9939921
Lubbock,TX,33.5778631,-101.8551665
Overland Park,KS,38.9822282,-94.6707917
Jackson,MS,32.2987573,-90.1848103
Gastonia,NC,35.262082,-81.1873005
Daytona Beach,FL,29.2108147,-81.0228331
Kansas City,MO,39.0997265,-94.5785667
Noblesville,IN,40.0455917,-86.0085955
Southaven,MS,34.9889818,-90.0125913
Chino,CA,34.0122346,-117.688944
Gaithersburg,MD,39.1434406,-77.2013705
Fountain Valley,CA,33.7091847,-117.9536697
Frederick,MD,39.4142688,-77.4105409
Greenville,NC,35.612661,-77.3663538
DeKalb,IL,41.9294736,-88.7503647
West Allis,WI,43.0166806,-88.0070315
Thornton,CO,39.8680412,-104.9719243
West Des Moines,IA,41.5772115,-93.711332
Fall River,MA,41.7014912,-71.1550451
Tulare,CA,36.2077288,-119.3473379
Chula Vista,CA,32.6400541,-117.0841955
Coral Springs,FL,26.271192,-80.2706044
Concord,NC,35.4087517,-80.579511
Smyrna,GA,33.8839926,-84.5143761
Apopka,FL,28.6934076,-81.5322149
Grand Forks,ND,47.9252568,-97.0328547
Lancaster,OH,39.7136754,-82.5993294
Naperville,IL,41.7508391,-88.1535352
Hollywood,FL,26.0112014,-80.1494901
Rogers,AR,36.3320196,-94.1185366
New Orleans,LA,29.9510658,-90.0715323
Lakewood,WA,47.1717649,-122.518458
Oak Lawn,IL,41.719978,-87.7479528
Caldwell,ID,43.6629384,-116.6873596
Portland,OR,45.5230622,-122.6764816
Concord,CA,37.9779776,-122.0310733
Burien,WA,47.4703767,-122.3467918
St. Charles,MO,38.7881062,-90.4974359
Waukesha,WI,43.0116784,-88.2314813
Flagstaff,AZ,35.1982836,-111.651302
Puyallup,WA,47.1853785,-122.2928974
Schenectady,NY,42.8142432,-73.9395687
Denver,CO,39.7392358,-104.990251
Springfield,IL,39.7817213,-89.6501481
Campbell,CA,37.2871651,-121.9499568
Moreno Valley,CA,33.9424658,-117.2296717
Kettering,OH,39.6895036,-84.1688274
Lincoln Park,MI,42.2505943,-83.1785361
Lake Havasu City,AZ,34.483901,-114.3224548
North Little Rock,AR,34.769536,-92.2670941
Reno,NV,39.5296329,-119.8138027
Littleton,CO,39.613321,-105.0166498
Prescott,AZ,34.5400242,-112.4685025
Dublin,CA,37.7021521,-121.9357918
Texarkana,TX,33.425125,-94.0476882
Portland,ME,43.661471,-70.2553259
Brooklyn Park,MN,45.0941315,-93.3563405
West Haven,CT,41.2705484,-72.9469711
El Centro,CA,32.792,-115.5630514
The Colony,TX,33.0806083,-96.8928309
Flint,MI,43.0125274,-83.6874562
Pittsburg,CA,38.0279762,-121.8846806
Buckeye,AZ,33.3703197,-112.5837766
Brea,CA,33.9166805,-117.9000604
Indio,CA,33.7205771,-116.2155619
Scottsdale,AZ,33.4941704,-111.9260519
